Fragment	F.Area	Sample.Label	Effort	Size	sightdist	sightangle	Region.Label	Area 
Sangasanga	987400	SS3.18	4500	3	32	59	2018	0
Vatovavy	3533900	VV5.14	5500	2	30	80	2014	0
Vatovavy	3533900	VV5.16	16500	0	29	3	2016	0
Sangasanga	987400	SS3.14	6000	5	28	72	2014	0
Sangasanga	987400	SS3.15	8500	3	28	82	2015	0
Tsitola	10971000	TT4.15	7000	2	28	89	2015	0
Tsitola	10971000	TT4.16	4000	2	28	44	2016	0
Tsitola	10971000	TT4.14	4500	2	26	86	2014	0
Vatovavy	3533900	VV8.14	5500	2	25	28	2014	0
Tsitola	10971000	TT6.16	4500	3	24	82	2016	0
Sangasanga	987400	SS3.18	4500	2	24	84	2018	0
Karakandatra	2799100	KK6.14	4000	1	22	85	2014	0
Karakandatra	2799100	KK1.14	5500	1	20	13	2014	0
Karakandatra	2799100	KK1.15	6000	2	20	86	2015	0
Sangasanga	987400	SS3.15	8500	4	20	76	2015	0
Tsitola	10971000	TT7.15	8000	2	20	88	2015	0
Vatovavy	3533900	VV8.15	14000	1	20	90	2015	0
Karakandatra	2799100	KK1.14	5500	3	19	27	2014	0
Tsitola	10971000	TT4.15	7000	3	19	72	2015	0
Vatovavy	3533900	VV8.14	5500	3	18	75	2014	0
Karakandatra	2799100	KK1.14	5500	1	17	86	2014	0
Tsitola	10971000	TT7.15	8000	1	17	89	2015	0
Vatovavy	3533900	VV14.16	16000	2	17	50	2016	0
Tsitola	10971000	TT1.14	5000	2	16	38	2014	0
Vatovavy	3533900	VV8.15	14000	1	16	70	2015	0
Tsitola	10971000	TT4.16	4000	1	16	20	2016	0
Sangasanga	987400	SS3.14	6000	1	15	30	2014	0
Tsitola	10971000	TT1.14	5000	2	15	60	2014	0
Tsitola	10971000	TT2.14	5000	3	15	32	2014	0
Tsitola	10971000	TT2.14	5000	1	15	18	2014	0
Tsitola	10971000	TT4.15	7000	3	15	82	2015	0
Vatovavy	3533900	VV2.15	12000	2	15	76	2015	0
Vatovavy	3533900	VV8.15	14000	2	15	80	2015	0
Sangasanga	987400	SS3.16	5500	6	15	2	2016	0
Vatovavy	3533900	VV1.17	13500	4	15	58	2017	0
Karakandatra	2799100	KK1.14	5500	2	14	67	2014	0
Sangasanga	987400	SS3.14	6000	1	14	1	2014	0
Sangasanga	987400	SS3.15	8500	3	14	63	2015	0
Vatovavy	3533900	VV2.15	12000	1	14	80	2015	0
Sangasanga	987400	SS3.17	5000	3	14	32	2017	0
Vatovavy	3533900	VV8.17	15000	3	14	30	2017	0
Sangasanga	987400	SS3.14	6000	6	13	14	2014	0
Sangasanga	987400	SS4.14	6000	3	13	28	2014	0
Vatovavy	3533900	VV2.14	6000	1	13	90	2014	0
Karakandatra	2799100	KK2.14	5500	1	12	29	2014	0
Tsitola	10971000	TT1.14	5000	1	12	34	2014	0
Vatovavy	3533900	VV15.14	5000	3	12	76	2014	0
Karakandatra	2799100	KK1.15	6000	1	12	40	2015	0
Karakandatra	2799100	KK8.15	7500	4	12	65	2015	0
Sangasanga	987400	SS3.15	8500	5	12	68	2015	0
Tsitola	10971000	TT2.15	9000	2	12	70	2015	0
Tsitola	10971000	TT4.15	7000	1	12	8	2015	0
Karakandatra	2799100	KK2.16	5500	1	12	67	2016	0
Sangasanga	987400	SS3.17	5000	3	12	22	2017	0
Vatovavy	3533900	VV1.17	13500	3	12	79	2017	0
Vatovavy	3533900	VV1.17	13500	2	12	20	2017	0
Sangasanga	987400	SS3.18	4500	3	12	61	2018	0
Vatovavy	3533900	VV7.18	11500	3	12	80	2018	0
Sangasanga	987400	SS3.19	8000	4	12	25	2019	0
Tsitola	10971000	TT2.14	5000	1	11	60	2014	0
Karakandatra	2799100	KK1.15	6000	1	11	43	2015	0
Karakandatra	2799100	KK1.15	6000	2	11	42	2015	0
Sangasanga	987400	SS3.16	5500	1	11	43	2016	0
