Fragment	F.Area	Region.Label	Area	Sample.Label	Effort	Size	distance	year
Vatovavy	353.39	Kianjavato	0	VV5.15	11500	4	24.90486745	2015
Sangasanga	98.74	Kianjavato	0	SS3.15	8500	7	15.52473162	2015
Tsitola	1097.1	Kianjavato	0	TT5.15	8500	3	5.767570176	2015
Tsitola	1097.1	Kianjavato	0	TT5.15	8500	2	0.20939698	2015
Vatovavy	353.39	Kianjavato	0	VV5.15	11500	6	10	2015
Tsitola	1097.1	Kianjavato	0	TT5.15	8500	2	7.070663707	2015
Karakandatra	279.91	Kianjavato	0	KK2.15	6000	4	1.584301464	2015
Sangasanga	98.74	Kianjavato	0	SS3.15	8500	7	7.128052194	2015
Karakandatra	279.91	Kianjavato	0	KK8.15	7500	4	6.12233795	2015
Tsitola	1097.1	Kianjavato	0	TT6.15	7000	2	3.473291852	2015
Sangasanga	98.74	Kianjavato	0	SS3.15	8500	2	16.91446717	2015
Tsitola	1097.1	Kianjavato	0	TT6.15	7000	6	1.939238481	2015
Tsitola	1097.1	Kianjavato	0	TT7.15	8000	5	8.221909119	2015
Sangasanga	98.74	Kianjavato	0	SS3.15	8500	4	2.736161147	2015
Vatovavy	353.39	Kianjavato	0	VV5.15	11500	4	6.893654271	2015
Vatovavy	353.39	Kianjavato	0	VV5.15	11500	5	5.785088487	2015
Sangasanga	98.74	Kianjavato	0	SS3.15	8500	4	7.778174593	2015
Tsitola	1097.1	Kianjavato	0	TT9.15	7000	4	2.781152949	2015
Sangasanga	98.74	Kianjavato	0	SS3.15	8500	3	11.64354872	2015
Vatovavy	353.39	Kianjavato	0	VV8.15	14000	5	7.794228634	2015
Tsitola	1097.1	Kianjavato	0	TT9.15	7000	5	4.683914245	2015
Karakandatra	279.91	Kianjavato	0	KK8.15	7500	3	3.30764827	2015
Karakandatra	279.91	Kianjavato	0	KK3.15	7000	0	0	2015
Karakandatra	279.91	Kianjavato	0	KK4.15	6000	0	0	2015
Karakandatra	279.91	Kianjavato	0	KK5.15	6000	0	0	2015
Karakandatra	279.91	Kianjavato	0	KK6.15	6000	0	0	2015
Karakandatra	279.91	Kianjavato	0	KK9.15	5500	0	0	2015
Karakandatra	279.91	Kianjavato	0	KK11.15	7000	0	0	2015
Sangasanga	98.74	Kianjavato	0	SS2.15	8500	0	0	2015
Sangasanga	98.74	Kianjavato	0	SS4.15	8500	0	0	2015
Tsitola	1097.1	Kianjavato	0	TT8.15	7000	0	0	2015
Tsitola	1097.1	Kianjavato	0	TT12.15	7000	0	0	2015
Tsitola	1097.1	Kianjavato	0	TT13.15	7000	0	0	2015
Vatovavy	353.39	Kianjavato	0	VV1.15	12000	0	0	2015
Vatovavy	353.39	Kianjavato	0	VV7.15	14000	0	0	2015
Vatovavy	353.39	Kianjavato	0	VV10.15	11000	0	0	2015
Vatovavy	353.39	Kianjavato	0	VV14.15	11000	0	0	2015
Vatovavy	353.39	Kianjavato	0	VV15.15	11000	0	0	2015
Tsiazombazaha	81.37	Kianjavato	0	TZ1.15	6500	0	0	2015
Tsiazombazaha	81.37	Kianjavato	0	TZ2.15	6500	0	0	2015
Tsiazombazaha	81.37	Kianjavato	0	TZ3.15	6500	0	0	2015
Sangasanga	98.74	Kianjavato	0	SS3.16	5500	7	8.978076452	2016
Sangasanga	98.74	Kianjavato	0	SS2.16	5500	7	0.627808264	2016
Tsiazombazaha	81.37	Kianjavato	0	TZ2.16	5000	7	6.472135955	2016
Vatovavy	353.39	Kianjavato	0	VV1.16	16000	7	22.98598902	2016
Tsitola	1097.1	Kianjavato	0	TT1.16	5000	6	5.035378602	2016
Tsitola	1097.1	Kianjavato	0	TT5.16	7000	6	6.893654271	2016
Tsitola	1097.1	Kianjavato	0	TT6.16	4500	6	22.87400359	2016
Vatovavy	353.39	Kianjavato	0	VV5.16	16500	6	19.15111108	2016
Sangasanga	98.74	Kianjavato	0	SS3.16	5500	5	5.95527691	2016
Sangasanga	98.74	Kianjavato	0	SS3.16	5500	5	19.40591453	2016
Vatovavy	353.39	Kianjavato	0	VV15.16	16500	5	13.92558475	2016
Vatovavy	353.39	Kianjavato	0	VV2.16	16500	5	5	2016
Vatovavy	353.39	Kianjavato	0	VV2.16	16500	5	14.94292047	2016
Vatovavy	353.39	Kianjavato	0	VV8.16	16500	5	1.215537244	2016
Sangasanga	98.74	Kianjavato	0	SS3.16	5500	4	4.925291803	2016
Vatovavy	353.39	Kianjavato	0	VV15.16	16500	4	5.494037403	2016
Vatovavy	353.39	Kianjavato	0	VV5.16	16500	4	13	2016
Vatovavy	353.39	Kianjavato	0	VV5.16	16500	4	14.58782578	2016
Vatovavy	353.39	Kianjavato	0	VV8.16	16500	4	3.464101615	2016
Vatovavy	353.39	Kianjavato	0	VV5.16	16500	4	4.10424172	2016
Tsitola	1097.1	Kianjavato	0	TT6.16	4500	3	3.526711514	2016
Vatovavy	353.39	Kianjavato	0	VV2.16	16500	3	0.174524064	2016
Vatovavy	353.39	Kianjavato	0	VV5.16	16500	3	2	2016
Vatovavy	353.39	Kianjavato	0	VV8.16	16500	3	6.427876097	2016
Vatovavy	353.39	Kianjavato	0	VV8.16	16500	3	0.520944533	2016
Vatovavy	353.39	Kianjavato	0	VV8.16	16500	3	7.660444431	2016
Karakandatra	279.91	Kianjavato	0	KK1.16	4500	2	9.659258263	2016
Tsitola	1097.1	Kianjavato	0	TT9.16	4500	2	3.583679495	2016
Vatovavy	353.39	Kianjavato	0	VV8.16	16500	2	7.660444431	2016
Sangasanga	98.74	Kianjavato	0	SS2.16	5500	1	7.901506725	2016
Vatovavy	353.39	Kianjavato	0	VV2.16	16500	1	10.39230485	2016
Karakandatra	279.91	Kianjavato	0	KK2.16	5500	0	0	2016
Karakandatra	279.91	Kianjavato	0	KK3.16	6000	0	0	2016
Karakandatra	279.91	Kianjavato	0	KK4.16	7000	0	0	2016
Karakandatra	279.91	Kianjavato	0	KK5.16	5500	0	0	2016
Karakandatra	279.91	Kianjavato	0	KK6.16	5000	0	0	2016
Karakandatra	279.91	Kianjavato	0	KK7.16	2500	0	0	2016
Karakandatra	279.91	Kianjavato	0	KK8.16	5000	0	0	2016
Karakandatra	279.91	Kianjavato	0	KK9.16	2500	0	0	2016
Karakandatra	279.91	Kianjavato	0	KK11.16	5500	0	0	2016
Sangasanga	98.74	Kianjavato	0	SS4.16	5500	0	0	2016
Tsiazombazaha	81.37	Kianjavato	0	TZ1.16	3000	0	0	2016
Tsiazombazaha	81.37	Kianjavato	0	TZ3.16	5000	0	0	2016
Tsitola	1097.1	Kianjavato	0	TT2.16	5000	0	0	2016
Tsitola	1097.1	Kianjavato	0	TT8.16	2500	0	0	2016
Tsitola	1097.1	Kianjavato	0	TT11.16	5500	0	0	2016
Tsitola	1097.1	Kianjavato	0	TT12.16	5500	0	0	2016
Tsitola	1097.1	Kianjavato	0	TT13.16	5000	0	0	2016
Tsitola	1097.1	Kianjavato	0	TT4.16	4000	0	0	2016
Tsitola	1097.1	Kianjavato	0	TT7.16	7000	0	0	2016
Vatovavy	353.39	Kianjavato	0	VV10.16	17000	0	0	2016
Vatovavy	353.39	Kianjavato	0	VV14.16	16000	0	0	2016
Vatovavy	353.39	Kianjavato	0	VV1.16	16000	0	0	2016
Vatovavy	353.39	Kianjavato	0	VV7.16	17000	0	0	2016
Vatovavy	353.39	Kianjavato	0	VV15.17	14500	5	3.856725658	2017
Vatovavy	353.39	Kianjavato	0	VV2.17	13500	6	13.71467681	2017
Vatovavy	353.39	Kianjavato	0	VV5.17	13500	6	19.05255888	2017
Vatovavy	353.39	Kianjavato	0	VV5.17	13500	4	0.034906567	2017
Tsitola	1097.1	Kianjavato	0	TT4.17	1500	4	14.11975168	2017
Vatovavy	353.39	Kianjavato	0	VV5.17	13500	5	3.472963553	2017
Vatovavy	353.39	Kianjavato	0	VV5.17	13500	3	16.58075145	2017
Vatovavy	353.39	Kianjavato	0	VV5.17	13500	3	18.79385242	2017
Vatovavy	353.39	Kianjavato	0	VV7.17	15000	3	6.92820323	2017
Vatovavy	353.39	Kianjavato	0	VV8.17	15000	7	10.92738936	2017
Sangasanga	98.74	Kianjavato	0	SS4.17	5000	4	7.364038828	2017
Vatovavy	353.39	Kianjavato	0	VV8.17	15000	5	0.031415911	2017
Vatovavy	353.39	Kianjavato	0	VV8.17	15000	2	0.017453284	2017
Tsitola	1097.1	Kianjavato	0	TT7.17	4500	4	8.228993532	2017
Vatovavy	353.39	Kianjavato	0	VV8.17	15000	2	6.062177826	2017
Sangasanga	98.74	Kianjavato	0	SS4.17	5000	3	11.25833025	2017
Vatovavy	353.39	Kianjavato	0	VV8.17	15000	3	1.710100717	2017
Sangasanga	98.74	Kianjavato	0	SS4.17	5000	4	7	2017
Vatovavy	353.39	Kianjavato	0	VV8.17	15000	5	6.56059029	2017
Vatovavy	353.39	Kianjavato	0	VV8.17	15000	4	3.441458618	2017
Sangasanga	98.74	Kianjavato	0	SS4.17	5000	2	9.975640503	2017
Sangasanga	98.74	Kianjavato	0	SS3.17	5000	7	7.418869699	2017
Vatovavy	353.39	Kianjavato	0	VV8.17	15000	5	7.070663707	2017
Tsiazombazaha	81.37	Kianjavato	0	TZ1.17	6500	0	0	2017
Tsiazombazaha	81.37	Kianjavato	0	TZ2.17	5500	0	0	2017
Tsiazombazaha	81.37	Kianjavato	0	TZ3.17	5500	0	0	2017
Karakandatra	279.91	Kianjavato	0	KK1.17	5000	0	0	2017
Karakandatra	279.91	Kianjavato	0	KK2.17	4500	0	0	2017
Karakandatra	279.91	Kianjavato	0	KK3.17	5000	0	0	2017
Karakandatra	279.91	Kianjavato	0	KK4.17	3500	0	0	2017
Karakandatra	279.91	Kianjavato	0	KK5.17	3500	0	0	2017
Karakandatra	279.91	Kianjavato	0	KK6.17	2000	0	0	2017
Karakandatra	279.91	Kianjavato	0	KK7.17	4500	0	0	2017
Karakandatra	279.91	Kianjavato	0	KK8.17	4000	0	0	2017
Karakandatra	279.91	Kianjavato	0	KK9.17	4000	0	0	2017
Karakandatra	279.91	Kianjavato	0	KK11.17	3500	0	0	2017
Sangasanga	98.74	Kianjavato	0	SS2.17	4000	0	0	2017
Tsitola	1097.1	Kianjavato	0	TT1.17	5500	0	0	2017
Tsitola	1097.1	Kianjavato	0	TT2.17	5500	0	0	2017
Tsitola	1097.1	Kianjavato	0	TT5.17	4500	0	0	2017
Tsitola	1097.1	Kianjavato	0	TT6.17	2500	0	0	2017
Tsitola	1097.1	Kianjavato	0	TT8.17	1000	0	0	2017
Tsitola	1097.1	Kianjavato	0	TT9.17	1000	0	0	2017
Tsitola	1097.1	Kianjavato	0	TT11.17	3000	0	0	2017
Tsitola	1097.1	Kianjavato	0	TT12.17	3000	0	0	2017
Tsitola	1097.1	Kianjavato	0	TT13.17	2500	0	0	2017
Vatovavy	353.39	Kianjavato	0	VV1.17	13500	0	0	2017
Vatovavy	353.39	Kianjavato	0	VV10.17	14500	0	0	2017
Vatovavy	353.39	Kianjavato	0	VV14.17	14500	0	0	2017
Vatovavy	353.39	Kianjavato	0	VV1.18	12500	3	0.001745329	2018
Vatovavy	353.39	Kianjavato	0	VV15.18	13000	4	7.042073442	2018
Vatovavy	353.39	Kianjavato	0	VV15.18	13000	6	6.63230058	2018
Sangasanga	98.74	Kianjavato	0	SS3.18	4500	8	5.868885604	2018
Vatovavy	353.39	Kianjavato	0	VV2.18	12500	4	13.15569669	2018
Sangasanga	98.74	Kianjavato	0	SS3.18	4500	5	9	2018
Vatovavy	353.39	Kianjavato	0	VV2.18	12500	4	0	2018
Vatovavy	353.39	Kianjavato	0	VV2.18	12500	3	0	2018
Vatovavy	353.39	Kianjavato	0	VV2.18	12500	3	0	2018
Vatovavy	353.39	Kianjavato	0	VV5.18	12000	7	10.59537111	2018
Vatovavy	353.39	Kianjavato	0	VV5.18	12000	5	7.725571124	2018
Vatovavy	353.39	Kianjavato	0	VV5.18	12000	4	0	2018
Vatovavy	353.39	Kianjavato	0	VV8.18	12500	6	0	2018
Sangasanga	98.74	Kianjavato	0	SS4.18	4500	9	13.92330654	2018
Vatovavy	353.39	Kianjavato	0	VV8.18	12500	2	13.15569669	2018
Vatovavy	353.39	Kianjavato	0	VV8.18	12500	7	0.868240888	2018
Sangasanga	98.74	Kianjavato	0	SS3.18	4500	5	2.079116908	2018
Vatovavy	353.39	Kianjavato	0	VV8.18	12500	4	0	2018
Vatovavy	353.39	Kianjavato	0	VV8.18	12500	5	0	2018
Vatovavy	353.39	Kianjavato	0	VV8.18	12500	6	0	2018
Sangasanga	98.74	Kianjavato	0	SS2.18	4500	0	0	2018
Karakandatra	279.91	Kianjavato	0	KK1.18	4000	0	0	2018
Karakandatra	279.91	Kianjavato	0	KK2.18	4000	0	0	2018
Karakandatra	279.91	Kianjavato	0	KK3.18	3500	0	0	2018
Karakandatra	279.91	Kianjavato	0	KK4.18	4000	0	0	2018
Karakandatra	279.91	Kianjavato	0	KK5.18	3500	0	0	2018
Karakandatra	279.91	Kianjavato	0	KK6.18	2500	0	0	2018
Karakandatra	279.91	Kianjavato	0	KK7.18	3500	0	0	2018
Karakandatra	279.91	Kianjavato	0	KK8.18	3000	0	0	2018
Karakandatra	279.91	Kianjavato	0	KK9.18	2500	0	0	2018
Karakandatra	279.91	Kianjavato	0	KK11.18	2500	0	0	2018
Tsitola	1097.1	Kianjavato	0	TT1.18	5500	0	0	2018
Tsitola	1097.1	Kianjavato	0	TT2.18	5500	0	0	2018
Tsitola	1097.1	Kianjavato	0	TT4.18	2500	0	0	2018
Tsitola	1097.1	Kianjavato	0	TT5.18	4000	0	0	2018
Tsitola	1097.1	Kianjavato	0	TT6.18	2500	0	0	2018
Tsitola	1097.1	Kianjavato	0	TT7.18	4000	0	0	2018
Tsitola	1097.1	Kianjavato	0	TT8.18	2500	0	0	2018
Tsitola	1097.1	Kianjavato	0	TT9.18	3000	0	0	2018
Tsitola	1097.1	Kianjavato	0	TT11.18	2500	0	0	2018
Tsitola	1097.1	Kianjavato	0	TT12.18	2500	0	0	2018
Tsitola	1097.1	Kianjavato	0	TT13.18	2000	0	0	2018
Tsiazombazaha	81.37	Kianjavato	0	TZ1.18	4000	0	0	2018
Tsiazombazaha	81.37	Kianjavato	0	TZ2.18	4000	0	0	2018
Tsiazombazaha	81.37	Kianjavato	0	TZ3.18	4000	0	0	2018
Vatovavy	353.39	Kianjavato	0	VV7.18	11500	0	0	2018
Vatovavy	353.39	Kianjavato	0	VV10.18	12500	0	0	2018
Vatovavy	353.39	Kianjavato	0	VV14.18	12500	0	0	2018
Vatovavy	353.39	Kianjavato	0	VV8.19	14000	6	3.213938048	2019
Vatovavy	353.39	Kianjavato	0	VV15.19	13000	6	1.552914271	2019
Vatovavy	353.39	Kianjavato	0	VV5.19	8500	2	8.965752283	2019
Vatovavy	353.39	Kianjavato	0	VV2.19	13500	2	11.57017697	2019
Sangasanga	98.74	Kianjavato	0	SS3.19	8000	7	5.247718243	2019
Vatovavy	353.39	Kianjavato	0	VV15.19	13000	4	9.396926208	2019
Sangasanga	98.74	Kianjavato	0	SS4.19	7500	6	0.826912067	2019
Sangasanga	98.74	Kianjavato	0	SS3.19	8000	4	9.99390827	2019
Vatovavy	353.39	Kianjavato	0	VV7.19	14500	4	1.041889066	2019
Sangasanga	98.74	Kianjavato	0	SS3.19	8000	4	3.936354174	2019
Sangasanga	98.74	Kianjavato	0	SS3.19	8000	6	3.068598028	2019
Vatovavy	353.39	Kianjavato	0	VV8.19	14000	5	0.174524064	2019
Sangasanga	98.74	Kianjavato	0	SS3.19	8000	5	1.989043791	2019
Vatovavy	353.39	Kianjavato	0	VV8.19	14000	2	4	2019
Vatovavy	353.39	Kianjavato	0	VV8.19	14000	6	5	2019
Vatovavy	353.39	Kianjavato	0	VV8.19	14000	2	0.261786097	2019
Vatovavy	353.39	Kianjavato	0	VV5.19	8500	6	6.946583705	2019
Karakandatra	279.91	Kianjavato	0	KK1.19	4500	0	0	2019
Karakandatra	279.91	Kianjavato	0	KK2.19	8000	0	0	2019
Karakandatra	279.91	Kianjavato	0	KK3.19	8500	0	0	2019
Karakandatra	279.91	Kianjavato	0	KK4.19	6000	0	0	2019
Karakandatra	279.91	Kianjavato	0	KK5.19	6500	0	0	2019
Karakandatra	279.91	Kianjavato	0	KK6.19	8500	0	0	2019
Karakandatra	279.91	Kianjavato	0	KK7.19	8000	0	0	2019
Karakandatra	279.91	Kianjavato	0	KK8.19	8000	0	0	2019
