Fragment	F.Area	Sample.Label	Effort	sightdist	sightangle	Size	Region.Label	Area 			
Tsitola	10971000	TT1.15	8500	7	30	3	2015	0			
Tsitola	10971000	TT11.15	7500	6	72	4	2015	0			
Tsitola	10971000	TT11.15	7500	5	78	4	2015	0			
Tsitola	10971000	TT12.15	7000	0	0	0	2015	0			
Tsitola	10971000	TT13.15	7000	0	0	0	2015	0			
Tsitola	10971000	TT2.15	9000	0	0	0	2015	0			
Tsitola	10971000	TT4.15	7000	3	19	3	2015	0			
Tsitola	10971000	TT5.15	8500	14	58	4	2015	0			
Tsitola	10971000	TT6.15	7000	0	0	0	2015	0			
Tsitola	10971000	TT7.15	8000	0	0	0	2015	0			
Tsitola	10971000	TT8.15	7000	0	0	0	2015	0			
Tsitola	10971000	TT9.15	7000	0	0	0	2015	0			
Tsiazombazaha	813700	TZ1.15	6500	0	0	0	2015	0			
Tsiazombazaha	813700	TZ2.15	6500	0	0	0	2015	0			
Tsiazombazaha	813700	TZ3.15	6500	0	0	0	2015	0			
Vatovavy	3533900	VV1.15	12000	10	70	2	2015	0			
Vatovavy	3533900	VV10.15	11000	0	0	0	2015	0			
Vatovavy	3533900	VV14.15	11000	0	0	0	2015	0			
Vatovavy	3533900	VV15.15	11000	0	0	0	2015	0			
Vatovavy	3533900	VV2.15	12000	0	0	0	2015	0			
Vatovavy	3533900	VV5.15	11500	0	0	0	2015	0			
Vatovavy	3533900	VV7.15	14000	0	0	0	2015	0			
Vatovavy	3533900	VV8.15	14000	3	82	2	2015	0			
Vatovavy	3533900	VV8.15	14000	5	60	3	2015	0			
Vatovavy	3533900	VV8.15	14000	15	70	3	2015	0			
Vatovavy	3533900	VV8.15	14000	20	30	3	2015	0			
Vatovavy	3533900	VV8.15	14000	12	50	3	2015	0			
Vatovavy	3533900	VV8.15	14000	7	20	4	2015	0			
Vatovavy	3533900	VV8.15	14000	7	60	3	2015	0			
Karakandatra	2799100	KK1.16	4500	0	0	0	2016	0			
Karakandatra	2799100	KK11.16	5500	0	0	0	2016	0			
Karakandatra	2799100	KK2.16	5500	0	0	0	2016	0			
Karakandatra	2799100	KK3.16	6000	0	0	0	2016	0			
Karakandatra	2799100	KK4.16	7000	0	0	0	2016	0			
Karakandatra	2799100	KK5.16	5500	0	0	0	2016	0			
Karakandatra	2799100	KK6.16	5000	0	0	0	2016	0			
Karakandatra	2799100	KK7.16	2500	0	0	0	2016	0			
Karakandatra	2799100	KK8.16	5000	0	0	0	2016	0			
Karakandatra	2799100	KK9.16	2500	0	0	0	2016	0			
Sangasanga	987400	SS2.16	5500	0	0	0	2016	0			
Sangasanga	987400	SS3.16	5500	0	0	0	2016	0			
Sangasanga	987400	SS4.16	5500	0	0	0	2016	0			
Tsitola	10971000	TT1.16	5000	0	0	0	2016	0			
Tsitola	10971000	TT11.16	5500	2	70	2	2016	0			
Tsitola	10971000	TT12.16	5500	0	0	0	2016	0			
Tsitola	10971000	TT13.16	5000	0	0	0	2016	0			
Tsitola	10971000	TT2.16	5000	10	58	4	2016	0			
Tsitola	10971000	TT4.16	4000	0	0	0	2016	0			
Tsitola	10971000	TT5.16	7000	0	0	0	2016	0			
Tsitola	10971000	TT6.16	4500	0	0	0	2016	0			
Tsitola	10971000	TT7.16	7000	11	72	3	2016	0			
Tsitola	10971000	TT7.16	7000	13	70	3	2016	0			
Tsitola	10971000	TT7.16	7000	13	50	4	2016	0			
Tsitola	10971000	TT7.16	7000	12	70	2	2016	0			
Tsitola	10971000	TT8.16	2500	0	0	0	2016	0			
Tsitola	10971000	TT9.16	4500	5	38	1	2016	0			
Tsitola	10971000	TT9.16	4500	3	24	1	2016	0			
Tsiazombazaha	813700	TZ1.16	3000	0	0	0	2016	0			
Tsiazombazaha	813700	TZ2.16	5000	0	0	0	2016	0			
Tsiazombazaha	813700	TZ3.16	5000	0	0	0	2016	0			
Vatovavy	3533900	VV1.16	16000	10	70	3	2016	0			
Vatovavy	3533900	VV1.16	16000	5	60	3	2016	0			
Vatovavy	3533900	VV10.16	17000	0	0	0	2016	0			
Vatovavy	3533900	VV14.16	16000	0	0	0	2016	0			
Vatovavy	3533900	VV15.16	16500	0	0	0	2016	0			
Vatovavy	3533900	VV2.16	16500	0	0	0	2016	0			
Vatovavy	3533900	VV5.16	16500	7	41	4	2016	0			
Vatovavy	3533900	VV5.16	16500	15	80	2	2016	0			
Vatovavy	3533900	VV7.16	17000	0	0	0	2016	0			
Vatovavy	3533900	VV8.16	16500	10	41	4	2016	0			
Vatovavy	3533900	VV8.16	16500	13	80	4	2016	0			
Vatovavy	3533900	VV8.16	16500	3	58	4	2016	0			
Vatovavy	3533900	VV8.16	16500	7	30	4	2016	0			
Vatovavy	3533900	VV8.16	16500	19	80	3	2016	0			
Vatovavy	3533900	VV8.16	16500	11	50	2	2016	0			
Vatovavy	3533900	VV8.16	16500	7	0	3	2016	0			
Vatovavy	3533900	VV8.16	16500	10	80	3	2016	0			
Vatovavy	3533900	VV8.16	16500	10	60	2	2016	0			
Karakandatra	2799100	KK1.17	5000	0	0	0	2017	0			
Karakandatra	2799100	KK11.17	3500	0	0	0	2017	0			
Karakandatra	2799100	KK2.17	4500	0	0	0	2017	0			
Karakandatra	2799100	KK3.17	5000	0	0	0	2017	0			
Karakandatra	2799100	KK4.17	3500	0	0	0	2017	0			
Karakandatra	2799100	KK5.17	3500	0	0	0	2017	0			
Karakandatra	2799100	KK6.17	2000	0	0	0	2017	0			
Karakandatra	2799100	KK7.17	4500	0	0	0	2017	0			
Karakandatra	2799100	KK8.17	4000	0	0	0	2017	0			
Karakandatra	2799100	KK9.17	4000	0	0	0	2017	0			
Sangasanga	987400	SS2.17	4000	0	0	0	2017	0			
Sangasanga	987400	SS3.17	5000	0	0	0	2017	0			
Sangasanga	987400	SS4.17	5000	0	0	0	2017	0			
Tsitola	10971000	TT1.17	5500	0	0	0	2017	0			
Tsitola	10971000	TT11.17	3000	0	0	0	2017	0			
Tsitola	10971000	TT12.17	3000	0	0	0	2017	0			
Tsitola	10971000	TT13.17	2500	0	0	0	2017	0			
Tsitola	10971000	TT2.17	5500	0	0	0	2017	0			
Tsitola	10971000	TT4.17	1500	0	0	0	2017	0			
Tsitola	10971000	TT5.17	4500	0	0	0	2017	0			
Tsitola	10971000	TT6.17	2500	0	0	0	2017	0			
Tsitola	10971000	TT7.17	4500	0	0	0	2017	0			
Tsitola	10971000	TT8.17	1000	0	0	0	2017	0			
Tsitola	10971000	TT9.17	1000	0	0	0	2017	0			
Tsiazombazaha	813700	TZ1.17	6500	0	0	0	2017	0			
Tsiazombazaha	813700	TZ2.17	5500	0	0	0	2017	0			
Tsiazombazaha	813700	TZ3.17	5500	0	0	0	2017	0			
Vatovavy	3533900	VV1.17	13500	0	0	0	2017	0			
